name,change,old_price_a,old_price_a_minus,old_price_rush,new_price_a,new_price_a_minus,new_price_rush
ゾロア AR仕様【-】{020/019}[MEZ],価格変動,"¥1,200",¥800,"¥1,400","¥1,300",¥900,"¥1,500"
ヒガナの信頼 【SR】{102/076}[M6],価格変動,¥250,¥150,¥300,¥450,¥300,¥500
ひふきやろう 【SR】{107/080}[M2],価格変動,¥300,¥200,¥300,¥250,¥150,¥300
ファイアローex 【RR】{062/076}[M6],価格変動,¥250,¥150,¥300,¥200,¥150,¥250
ムウマージex 【SR】{097/080}[M2],価格変動,¥300,¥100,¥200,¥150,¥100,¥200
メガサメハダーex 【SR】{098/080}[M2],価格変動,¥300,¥100,¥200,¥150,¥100,¥200
マチスの取引 【SR】{085/063}[M1L],削除,¥300,¥70,¥100,,,
マグカルゴex 【SR】{080/066}[SV5a],削除,¥300,¥70,¥100,,,
ロケット団のイオルブ 【AR】{104/098}[SV10],削除,¥350,¥100,¥200,,,
ロケット団のマタドガス 【AR】{105/098}[SV10],削除,¥300,¥150,¥250,,,
ケンタロス 【AR】{094/083}[M4],削除,¥300,¥100,¥200,,,
ヤドラン 【AR】{087/081}[M5],削除,¥300,¥150,¥300,,,
ヤドン 【C】{038/102}[SV7],削除,¥100,¥90,¥150,,,
